Timestamp,Message
2025-07-04 19:47:14,"127.0.0.1 - - [04/Jul/2025 19:47:14] ""GET /live_ips HTTP/1.1"" 200 -
"
2025-07-04 19:47:14,"127.0.0.1 - - [04/Jul/2025 19:47:14] ""GET /blocked_ips HTTP/1.1"" 200 -
"
2025-07-04 19:47:14,"127.0.0.1 - - [04/Jul/2025 19:47:14] ""GET /graph?ts=1751638634146 HTTP/1.1"" 200 -
"
2025-07-04 19:47:19,"127.0.0.1 - - [04/Jul/2025 19:47:19] ""GET /live_ips HTTP/1.1"" 200 -
"
2025-07-04 19:47:19,"127.0.0.1 - - [04/Jul/2025 19:47:19] ""GET /blocked_ips HTTP/1.1"" 200 -
"
2025-07-04 19:47:20,"127.0.0.1 - - [04/Jul/2025 19:47:20] ""GET /graph?ts=1751638639801 HTTP/1.1"" 200 -
"
2025-07-04 19:47:24,"127.0.0.1 - - [04/Jul/2025 19:47:24] ""GET /live_ips HTTP/1.1"" 200 -
"
2025-07-04 19:47:24,"127.0.0.1 - - [04/Jul/2025 19:47:24] ""GET /blocked_ips HTTP/1.1"" 200 -
"
2025-07-04 19:47:25,"127.0.0.1 - - [04/Jul/2025 19:47:25] ""GET /graph?ts=1751638644802 HTTP/1.1"" 200 -
"
2025-07-04 19:47:29,"127.0.0.1 - - [04/Jul/2025 19:47:29] ""GET /live_ips HTTP/1.1"" 200 -
"
2025-07-04 19:47:29,"127.0.0.1 - - [04/Jul/2025 19:47:29] ""GET /blocked_ips HTTP/1.1"" 200 -
"
2025-07-04 19:47:30,"127.0.0.1 - - [04/Jul/2025 19:47:30] ""GET /graph?ts=1751638649807 HTTP/1.1"" 200 -
"
2025-07-04 19:47:34,"127.0.0.1 - - [04/Jul/2025 19:47:34] ""GET /live_ips HTTP/1.1"" 200 -
"
2025-07-04 19:47:34,"127.0.0.1 - - [04/Jul/2025 19:47:34] ""GET /blocked_ips HTTP/1.1"" 200 -
"
2025-07-04 19:47:35,"127.0.0.1 - - [04/Jul/2025 19:47:35] ""GET /graph?ts=1751638654813 HTTP/1.1"" 200 -
"
2025-07-04 19:47:39,"127.0.0.1 - - [04/Jul/2025 19:47:39] ""GET /live_ips HTTP/1.1"" 200 -
"
2025-07-04 19:47:39,"127.0.0.1 - - [04/Jul/2025 19:47:39] ""GET /blocked_ips HTTP/1.1"" 200 -
"
2025-07-04 19:47:40,"127.0.0.1 - - [04/Jul/2025 19:47:40] ""GET /graph?ts=1751638659810 HTTP/1.1"" 200 -
"
2025-07-04 19:47:44,"127.0.0.1 - - [04/Jul/2025 19:47:44] ""GET /live_ips HTTP/1.1"" 200 -
"
2025-07-04 19:47:44,"127.0.0.1 - - [04/Jul/2025 19:47:44] ""GET /blocked_ips HTTP/1.1"" 200 -
"
2025-07-04 19:47:45,"127.0.0.1 - - [04/Jul/2025 19:47:45] ""GET /graph?ts=1751638664812 HTTP/1.1"" 200 -
"
2025-07-04 19:47:49,"127.0.0.1 - - [04/Jul/2025 19:47:49] ""GET /live_ips HTTP/1.1"" 200 -
"
2025-07-04 19:47:49,"127.0.0.1 - - [04/Jul/2025 19:47:49] ""GET /blocked_ips HTTP/1.1"" 200 -
"
2025-07-04 19:47:50,"127.0.0.1 - - [04/Jul/2025 19:47:50] ""GET /graph?ts=1751638669806 HTTP/1.1"" 200 -
"
2025-07-04 19:47:54,"127.0.0.1 - - [04/Jul/2025 19:47:54] ""GET /live_ips HTTP/1.1"" 200 -
"
